code_commune,id_question,libelle,definition
35281,35,Comment suivre en temps réel le caractère exceptionnel des cumuls de pluies à Saint-Jacques-de-la-Lande&#8239;?,NULL
35144,50,Y a-t-il des écoquartiers à Langan&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35120,35,Comment suivre en temps réel le caractère exceptionnel des cumuls de pluies à Gévezé&#8239;?,NULL
35088,50,Y a-t-il des écoquartiers à Corps-Nuds&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35250,50,Y a-t-il des écoquartiers à Saint-Armel&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35132,50,Y a-t-il des écoquartiers à Hirel&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35131,50,Y a-t-il des écoquartiers à L'Hermitage&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35353,50,Y a-t-il des écoquartiers à Vezin-le-Coquet&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35281,50,Y a-t-il des écoquartiers à Saint-Jacques-de-la-Lande&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35055,50,Y a-t-il des écoquartiers à Chantepie&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35315,50,Y a-t-il des écoquartiers à Saint-Sulpice-la-Forêt&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35170,50,Y a-t-il des écoquartiers à Mecé&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35310,50,Y a-t-il des écoquartiers à Saint-Sauveur-des-Landes&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35204,58,Quels sont les facteurs de vulnérabilité au changement climatique à Nouvoitou&#8239;?,NULL
35135,50,Y a-t-il des écoquartiers à Irodouër&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35120,50,Y a-t-il des écoquartiers à Gévezé&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35065,50,Y a-t-il des écoquartiers à La Chapelle-Thouarault&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35250,16,Y a-t-il  un réseau de chaleur à Saint-Armel&#8239;?,
35079,50,Y a-t-il des écoquartiers à Chevaigné&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35022,50,Y a-t-il des écoquartiers à Bécherel&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35039,50,Y a-t-il des écoquartiers à Brécé&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35230,50,Y a-t-il des écoquartiers à Poilley&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35235,50,Y a-t-il des écoquartiers à Rannée&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35001,50,Y a-t-il des écoquartiers à Acigné&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35204,50,Y a-t-il des écoquartiers à Nouvoitou&#8239;?,"La démarche ÉcoQuartier accompagne depuis plus de dix ans les villes, villages et territoires dans la conception et la gestion de leurs projets d'aménagement durable. Adaptée aux contextes locaux, cette démarche publique et gratuite offre des outils méthodologiques, un accompagnement sur-mesure et un label valorisant des réalisations exemplaires. En plaçant la sobriété, la résilience, l'inclusion et la création de valeurs matérielles et immatérielles au cœur des projets, la démarche ÉcoQuartier participe activement à la transition écologique et sociale des territoires."
35240,41,Quels dispositifs contribuent à la protection des espèces aux alentours du Rheu&#8239;?,NULL
35190,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Monthault&#8239;?,NULL
35196,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Mordelles&#8239;?,NULL
35058,41,Quels dispositifs contribuent à la protection des espèces aux alentours de La Chapelle-Chaussée&#8239;?,NULL
35334,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Thorigné-Fouillard&#8239;?,NULL
35160,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Loutehel&#8239;?,NULL
35076,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Chavagne&#8239;?,NULL
35245,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Romillé&#8239;?,NULL
35200,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Moutiers&#8239;?,NULL
35275,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Saint-Gilles&#8239;?,NULL
35208,41,Quels dispositifs contribuent à la protection des espèces aux alentours d'Orgères&#8239;?,NULL
35210,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Pacé&#8239;?,NULL
35066,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Chartres-de-Bretagne&#8239;?,NULL
35206,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Noyal-Châtillon-sur-Seiche&#8239;?,NULL
35024,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Betton&#8239;?,NULL
35059,41,Quels dispositifs contribuent à la protection des espèces aux alentours de La Chapelle-des-Fougeretz&#8239;?,NULL
35216,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Parthenay-de-Bretagne&#8239;?,NULL
35351,41,Quels dispositifs contribuent à la protection des espèces aux alentours du Verger&#8239;?,NULL
35189,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Montgermont&#8239;?,NULL
35266,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Saint-Erblon&#8239;?,NULL
35139,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Laillé&#8239;?,NULL
35150,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Lécousse&#8239;?,NULL
35238,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Rennes&#8239;?,NULL
35088,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Corps-Nuds&#8239;?,NULL
35250,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Saint-Armel&#8239;?,NULL
35131,41,Quels dispositifs contribuent à la protection des espèces aux alentours de L'Hermitage&#8239;?,NULL
35132,41,Quels dispositifs contribuent à la protection des espèces aux alentours d'Hirel&#8239;?,NULL
35353,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Vezin-le-Coquet&#8239;?,NULL
35032,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Bourgbarré&#8239;?,NULL
35363,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Pont-Péan&#8239;?,NULL
35051,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Cesson-Sévigné&#8239;?,NULL
35144,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Langan&#8239;?,NULL
35032,24,Y a-t-il un risque de crue imminente aux environs de Bourgbarré&#8239;?,
35144,24,Y a-t-il un risque de crue imminente aux environs de Langan&#8239;?,
35250,24,Y a-t-il un risque de crue imminente aux environs de Saint-Armel&#8239;?,
35135,20,Quels sont les débats et concertations en cours et à venir autour d'Irodouër&#8239;?,
35051,24,Y a-t-il un risque de crue imminente aux environs de Cesson-Sévigné&#8239;?,
35334,38,La circulation à Thorigné-Fouillard fait-elle l'objet de restrictions&#8239;?,
35160,38,La circulation à Loutehel fait-elle l'objet de restrictions&#8239;?,
35058,38,La circulation à La Chapelle-Chaussée fait-elle l'objet de restrictions&#8239;?,
35196,38,La circulation à Mordelles fait-elle l'objet de restrictions&#8239;?,
35139,36,Le risque d'exposition au radon est-il élevé à Laillé&#8239;?,Le radon est un gaz radioactif naturel reconnu comme cancérigène. Il est susceptible de s'accumuler dans les lieux clos et représente alors un risque important pour la santé des personnes qui y sont régulièrement exposées.
35281,14,Quels seront les effets du changement climatique à Saint-Jacques-de-la-Lande&#8239;?,
35196,60,Comment les aides à la rénovation énergétique sont-elles mobilisées à Mordelles&#8239;?,"Accessible à tous les propriétaires et copropriétaires, qu'ils louent ou occupent leur logement, <a title=""MaPrimeRénov’ sur le site France Rénov' - nouvelle fenêtre"" href=""https://france-renov.gouv.fr/aides/maprimerenov"" target=""_blank"" rel=""noopener external"">MaPrimeRénov’</a> est le principal dispositif d'aide à la rénovation énergétique des logements. Elle finance des travaux qui réduisent les consommations d'énergie et améliorent le confort des logements en hiver et en été."
35058,60,Comment les aides à la rénovation énergétique sont-elles mobilisées à La Chapelle-Chaussée&#8239;?,"Accessible à tous les propriétaires et copropriétaires, qu'ils louent ou occupent leur logement, <a title=""MaPrimeRénov’ sur le site France Rénov' - nouvelle fenêtre"" href=""https://france-renov.gouv.fr/aides/maprimerenov"" target=""_blank"" rel=""noopener external"">MaPrimeRénov’</a> est le principal dispositif d'aide à la rénovation énergétique des logements. Elle finance des travaux qui réduisent les consommations d'énergie et améliorent le confort des logements en hiver et en été."
35120,58,Quels sont les facteurs de vulnérabilité au changement climatique à Gévezé&#8239;?,NULL
35235,58,Quels sont les facteurs de vulnérabilité au changement climatique à Rannée&#8239;?,NULL
35230,58,Quels sont les facteurs de vulnérabilité au changement climatique à Poilley&#8239;?,NULL
35275,3,Y a-t-il des restrictions d’usage de l’eau à Saint-Gilles&#8239;?,"Lorsque le niveau des nappes phréatiques est trop bas, les préfets peuvent suspendre ou limiter par arrêté certains usages de l'eau par les particuliers, agriculteurs, collectivités et entreprises. Les restrictions portent sur des activités non prioritaires, telles que le remplissage des piscines, le lavage des voitures ou l’arrosage des jardins potagers."
35001,48,Quel est le prix de l'immobilier à Acigné&#8239;?,NULL
35076,1,Quels sont les lieux accessibles aux personnes handicapées à Chavagne&#8239;?,
35266,29,Quelles sont les pratiques de covoiturage quotidien à Saint-Erblon&#8239;?,NULL
35170,20,Quels sont les débats et concertations en cours et à venir autour de Mecé&#8239;?,
35315,20,Quels sont les débats et concertations en cours et à venir autour de Saint-Sulpice-la-Forêt&#8239;?,
35208,38,La circulation à Orgères fait-elle l'objet de restrictions&#8239;?,
35189,36,Le risque d'exposition au radon est-il élevé à Montgermont&#8239;?,Le radon est un gaz radioactif naturel reconnu comme cancérigène. Il est susceptible de s'accumuler dans les lieux clos et représente alors un risque important pour la santé des personnes qui y sont régulièrement exposées.
35058,26,À quels risques est exposé le territoire de La Chapelle-Chaussée&#8239;?,NULL
35160,26,À quels risques est exposé le territoire de Loutehel&#8239;?,NULL
35196,26,À quels risques est exposé le territoire de Mordelles&#8239;?,NULL
35334,26,À quels risques est exposé le territoire de Thorigné-Fouillard&#8239;?,NULL
35132,19,Comment constituer un bon dossier de location de logement&#8239;?,
35240,17,Que faire si mon logement du Rheu n'est pas décent ou insalubre&#8239;?,"Un logement non décent est un logement qui ne remplit pas toutes les conditions suivantes&nbsp;: sécurisé, qui ne met pas votre vie en danger, contient les équipements essentiels (eau froide et chaude, chauffage, coin cuisine, etc.), est aéré correctement (VMC ou ventilation...), n'a pas d'infiltrations d'air (mauvaise isolation, humidité...), n'a pas de parasites (cafards, punaises de lit…) ni de nuisibles (rats…).
Sachez que certains problèmes peuvent également résulter d'un mauvais entretien du logement. Avant toute démarche, vérifiez ce qui relève des obligations du locataire ou du bailleur."
35131,19,Comment constituer un bon dossier de location de logement&#8239;?,
35058,40,Quelles sont les règles pour la chasse à La Chapelle-Chaussée&#8239;?,NULL
35196,40,Quelles sont les règles pour la chasse à Mordelles&#8239;?,NULL
35160,40,Quelles sont les règles pour la chasse à Loutehel&#8239;?,NULL
35334,40,Quelles sont les règles pour la chasse à Thorigné-Fouillard&#8239;?,NULL
35170,14,Quels seront les effets du changement climatique à Mecé&#8239;?,
35315,14,Quels seront les effets du changement climatique à Saint-Sulpice-la-Forêt&#8239;?,
35001,58,Quels sont les facteurs de vulnérabilité au changement climatique à Acigné&#8239;?,NULL
35076,38,La circulation à Chavagne fait-elle l'objet de restrictions&#8239;?,
35136,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Janzé&#8239;?,NULL
35081,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Clayes&#8239;?,NULL
35080,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Cintré&#8239;?,NULL
35278,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Saint-Grégoire&#8239;?,NULL
35352,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Vern-sur-Seiche&#8239;?,NULL
35180,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Miniac-sous-Bécherel&#8239;?,NULL
35353,19,Comment constituer un bon dossier de location de logement&#8239;?,
35024,10,Comment rénover mon logement à Betton&#8239;?,
35059,10,Comment rénover mon logement à La Chapelle-des-Fougeretz&#8239;?,
35206,10,Comment rénover mon logement à Noyal-Châtillon-sur-Seiche&#8239;?,
35079,58,Quels sont les facteurs de vulnérabilité au changement climatique à Chevaigné&#8239;?,NULL
35039,58,Quels sont les facteurs de vulnérabilité au changement climatique à Brécé&#8239;?,NULL
35022,58,Quels sont les facteurs de vulnérabilité au changement climatique à Bécherel&#8239;?,NULL
35065,58,Quels sont les facteurs de vulnérabilité au changement climatique à La Chapelle-Thouarault&#8239;?,NULL
35144,19,Comment constituer un bon dossier de location de logement&#8239;?,
35080,16,Y a-t-il  un réseau de chaleur à Cintré&#8239;?,
35081,16,Y a-t-il  un réseau de chaleur à Clayes&#8239;?,
35136,16,Y a-t-il  un réseau de chaleur à Janzé&#8239;?,
35180,16,Y a-t-il  un réseau de chaleur à Miniac-sous-Bécherel&#8239;?,
35278,16,Y a-t-il  un réseau de chaleur à Saint-Grégoire&#8239;?,
35352,16,Y a-t-il  un réseau de chaleur à Vern-sur-Seiche&#8239;?,
35055,58,Quels sont les facteurs de vulnérabilité au changement climatique à Chantepie&#8239;?,NULL
35281,58,Quels sont les facteurs de vulnérabilité au changement climatique à Saint-Jacques-de-la-Lande&#8239;?,NULL
35135,35,Comment suivre en temps réel le caractère exceptionnel des cumuls de pluies à Irodouër&#8239;?,NULL
35310,35,Comment suivre en temps réel le caractère exceptionnel des cumuls de pluies à Saint-Sauveur-des-Landes&#8239;?,NULL
35135,58,Quels sont les facteurs de vulnérabilité au changement climatique à Irodouër&#8239;?,NULL
35047,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Bruz&#8239;?,NULL
35065,41,Quels dispositifs contribuent à la protection des espèces aux alentours de La Chapelle-Thouarault&#8239;?,NULL
35310,58,Quels sont les facteurs de vulnérabilité au changement climatique à Saint-Sauveur-des-Landes&#8239;?,NULL
35334,60,Comment les aides à la rénovation énergétique sont-elles mobilisées à Thorigné-Fouillard&#8239;?,"Accessible à tous les propriétaires et copropriétaires, qu'ils louent ou occupent leur logement, <a title=""MaPrimeRénov’ sur le site France Rénov' - nouvelle fenêtre"" href=""https://france-renov.gouv.fr/aides/maprimerenov"" target=""_blank"" rel=""noopener external"">MaPrimeRénov’</a> est le principal dispositif d'aide à la rénovation énergétique des logements. Elle finance des travaux qui réduisent les consommations d'énergie et améliorent le confort des logements en hiver et en été."
35079,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Chevaigné&#8239;?,NULL
35039,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Brécé&#8239;?,NULL
35022,41,Quels dispositifs contribuent à la protection des espèces aux alentours de Bécherel&#8239;?,NULL
