nom_du_projet,resume_du_projet,montant_engage,numero_dossier_ds,numero_ej,numero_operateur,opérateur,demarche,nom_region,nom_departement,code_departement,siret_beneficiaire,raison_sociale_beneficiaire,forme juridique_beneficiaire,code_commune,nom_commune
ZAC Bernard Duval ,"La ZAC Claude Bernard / Alexandre Duval à Rennes vise à revitaliser le quartier Arsenal Redon en transformant les friches industrielles en un cadre urbain moderne et dynamique. Le projet prévoit la création de logements diversifiés, de services de proximité et d'espaces publics conviviaux, tout en favorisant la connectivité et la durabilité. C'est une opportunité unique de créer un quartier harmonieux, respectueux de son histoire et de son environnement.",200000.00,16816884,2104468899,,,Recyclage foncier,Bretagne,Ille-et-Vilaine,35,52318955300010,TERRITOIRES PUBLICS,SA à conseil d'administration (s.a.i.),35238,Rennes
SAINT SULPICE LA FORET - Lieu dit L'OLIVERIE - CREATION de 2 Poteaux Incendie,"La commune de St Sulpice la Forêt va faire l'objet de la réalisation d'un Schéma Communal de DECI en 2024
 -2 zones de 31 bâtis et 12 batis. Les bâtiments sont espacés entre eux de moins de 50m et localisés à moins de 
200m de la forêt de LIFFRE
'- Bouche incendie 30 m3h à 800m
'- Bien que Saint Sulpice La forêt ne soit pas identifiée comme commune à risque dans l'arrêté préfectoral sa 
proximité avec le massif forestier de la forêt de LIFFRE nous conduit à identifier cette commune comme sensible au 
risque incendie",28560.00,15867059,2104357048,,,Prévention des risques d’incendies de forêt et de végétation,Bretagne,Ille-et-Vilaine,35,25350262900020,COLLECTIVITE EAU DU BASSIN RENNAIS,Syndicat mixte fermé,35315,Saint-Sulpice-la-Forêt
Laille -  Lieu dit la Corbinais,"La commune de LAILLE a été identifiée comme exposée au risque incendie dans l’ arrêté préfectoral de juillet 2022 
 - La commune de LAILLE fait l'objet de la réalisation d'un Schéma Communal de DECI piloté par la CEBR
- 2 zones de 33 bâtis et 25 batis, Les batiments sont espacés entre eux de moins de 50m et localisés à moins de 
200m de la forêt de LAILLE
'- PI 80 mm le plus proche à 1500 m
Mise en place de 2 réserves incendie de 60m3 chacune nécessitant recherche et achat de terrain. Etude de 
maîtrise d'œuvre et travaux réalisés par prestataires externes",32000.00,15403836,2104357056,,,Prévention des risques d’incendies de forêt et de végétation,Bretagne,Ille-et-Vilaine,35,24350013900189,RENNES METROPOLE,Métropole,35139,Laillé
Renaturation et déconnexion des eaux pluviales de la rue des douves à Becherel,"Labellisée ""Petite cité de caractère"", la commune de Bécherel a identifié la rue des Douves comme nécessitant des travaux de requalification et d'embellissement de l'espace public. 
Située en surplomb des jardins au Sud de la ville et à la lisière du bourg, l'aménagement visent à répondre à la fois à des enjeux architecturaux et paysagers, avec la prise en compte du contexte patrimonial, et à des enjeux fonctionnels.

Les objectifs  architecturaux et paysagers sont les suivants:
-	une mise en valeur des points de vue sur le paysage lointain ;
-	une recherche qualitative assurant une cohérence avec les aménagements du centre bourg ;
-	la préservation du mur de soutènement en pierres jointoyées ;
-	l'effacement des réseaux aériens et la suppression des supports de réseau obstruant le point de vue ;
-	un renouvellement de l'éclairage de l'ensemble de la rue ;
-	l'affirmation de plantations en pieds de façades des maisons.
Les objectifs fonctionnels consistent en :
-	le renouvellement du réseau d'assainissement unitaire , en développant les espaces de désimperméabilisation et de déconnexion des eaux pluviales de la voirie et de gouttières ;
-	la conservation et l'intégration de places de stationnement ; 
-	l'intégration des difficultés de retournement liés à la faible largeur et à la circulation en impasse de la rue ;
-	la prise en compte des contraintes de manœuvre liées à la faible largeur de la voie;
-	le maintien du statut de zone de rencontre.

L'aménagement est composé ainsi d'une voirie de couleur beige au droit du mur de soutènement et accompagné de stationnements. Un espace en pavés à joints maçonnés accompagné d'assises officialise la fonction de belvédère existant par la topographie. Toute infiltration au droit du mur protégé au PLUI étant exclu, les revêtements de ces espaces se devait de rester imperméable. Ainsi, les espaces d'infiltration en pavés béton joints engazonnés sont positionnés en bout d'impasse et à l'entrée du chemin piétonnier (Roquet). A l'image des rues de Bécherel, l'entrée de rue est marquée par une surface en pavée granit. L'effacement de réseaux et la mise en place de lanterne en façade permettent la mise en valeur l'architecture. Le charme de la rue est conservé par des plantations en pied des habitations.

Pour des raisons de coordination de travaux, la commune compétente en matière d'espaces verts a choisi de transférer sa maîtrise d'ouvrage à Rennes Métropole, compétente en matière de voirie, d'assainissement et d'éclairage public. Cet accord est retracé dans une convention de maîtrise d'ouvrage unique.
",29914.00,17405311,,240324801,AELB,Renaturation des villes et des villages,Bretagne,Ille-et-Vilaine,35,24350013900189,RENNES METROPOLE,Métropole,35238,Rennes
Stratégie Paysagère de végétalisation du centre ville de Rennes,"La stratégie de végétalisation et de désimperméabilisation du centre-ville de Rennes consiste à ""étirer"" les grands parcs que sont les prairies Saint-Martin, le Thabor, le secteur Courrouze/Prévalaye… pour les amener aux portes du centre-ville, voire les faire rentrer dans le centre-ville, ainsi qu'à développer un maillage végétal à l'intérieur même du centre-ville, afin d'accompagner et de guider le piéton vers les parcs et jardins en périphérie du centre-ville. Cette mise en réseau pourra s'appuyer sur la présence et sur le parcours de l'eau, le long des bassins versants de l'Ille et de la Vilaine, de manière à faire converger la présence du végétal avec les besoins de réouverture des sols.
La mise en oeuvre de cette stratégie est progressive afin d'optimiser les délais de réalisation, de sorte de ne pas attendre que la globalité des opérations soient étudiées pour réaliser ce qui peut l'être à court terme. Ainsi, après deux premières phases en 2021 ayant permis la plantations de 26 arbres et la désimperméabilisation de 335 m², une 3e phase va démarrer fin 2023 et se dérouler en 2024, et constitue l'objet de la présente demande de financement.
8 sites ont été retenus afin de planter 17 arbres supplémentaires et 70 m² de surfaces désimperméablisées et végétalisées.
Pour information, la phase majeure de mise en œuvre de cette stratégie à savoir la phase n° 4 devrait connaître une validation sur la fin d'année pour une mise en œuvre à compter de 2024. Une nouvelle demande de financement sera alors déposée pour cette prochaine phase.",109665.00,14026826,,240017401,AELB,Renaturation des villes et des villages,Bretagne,Ille-et-Vilaine,35,24350013900189,RENNES METROPOLE,Métropole,35238,Rennes
Renaturation de la cour de l'école élémentaire Jacques Prévert,"Le projet communal porte sur la renaturation de la cour de l'école élémentaire Jacques Prévert, en co-construction avec les élèves, les parents et l'équipe pédagogique par la désimperméabilisation des sols, la végétalisation des espaces et une meilleure gestion du cycle de l'eau.",46734.75,16035303,,240152701,AELB,Renaturation des villes et des villages,Bretagne,Ille-et-Vilaine,35,21350275000085,COMMUNE DE SAINT GILLES,Commune et commune nouvelle,35275,Saint-Gilles
Végétalisation de la cour d'école élémentaire Andrée Chedid,"Ce projet poursuit 3 objectifs :
1/s'adapter aux effets du changement climatique et améliorer la biodiversité par la diminution des surfaces minérales au profit des végétaux et plantation d'arbres pour lutter contre les ilots de chaleur et créer de l'ombre, cible visée : 56% de la canopée versus 40% aujourd'hui ;
2/désimperméabilisation permettant une meilleure gestion des eaux pluviales (zone de noue et pavés drainants)
3/ Améliorer le confort, lutter contre ilot de chaleur, espaces ludiques sur surfaces naturelles
le projet s'inscrit parallèlement autant que possible dans une démarche de préservation des ressources locales (réemploi sur site)",120201.50,16939923,,240275401,AELB,Renaturation des villes et des villages,Bretagne,Ille-et-Vilaine,35,21350238800019,COMMUNE DE RENNES,Commune et commune nouvelle,35238,Rennes
ZAC de la Trémelière (Le Rheu) Reméandrage et du Lindon,"Le projet de renaturation et de reméandrage du Lindon est envisagé dans le cadre et dans le périmètre de la réalisation de la ZAC de la Trémelière située au Rheu. Il vise à atteindre les objectifs suivants :
- Restauration morphologique d’envergure, en passant d’un linéaire de 1 168 ml de ruisseau rectiligne à un linéaire de 1 466 ml méandriforme ;
- Gain de biodiversité par l’amélioration des habitats naturels et des conditions d’accueil et de transit de la faune (trame verte et bleue) ;
- Déconnexion d’arrivées d’eaux pluviales afin de réduire les à-coups hydrauliques à leur arrivée au ruisseau et afin également de réduire le transfert de sédiments et de contaminants transportés par les eaux de ruissellement ;
- Création d’un vaste îlot de fraîcheur et renforcement du caractère naturel du cadre de vie offert aux habitants.",350216.25,16647958,,240212201,AELB,Renaturation des villes et des villages,Bretagne,Ille-et-Vilaine,35,57920082500050,TERRITOIRES & DEVELOPPEMNT SOCIETE D AMENAGEMENT DU BASSIN RENNAIS,SA d'économie mixte à conseil d'administration,35238,Rennes
Végétalisation de la cour d'école publique Léonard de Vinci,"Ce projet de végétalisation de la cour de l'école vise à désimperméabiliser les surfaces pour améliorer la gestion des eaux pluviales et créer des îlots de fraicheur afin de s'adapter au changement climatique. Les objectifs sont multiples et transversaux : améliorer le cadre de vie, garant de la citoyenneté et respectueux de l'environnement, permettant une meilleure appropriation des espaces autour d'une mixité d'usage tout en accompagnant l'innovation pédagogique.",19482.75,18745524,,240443101,AELB,Renaturation des villes et des villages,Bretagne,Ille-et-Vilaine,35,21350120800010,COMMUNE DE GEVEZE,Commune et commune nouvelle,35120,Gévezé
Rennes Sécurisation du Carrefour Danton/Vitré Déconnexion des eaux pluviales et végétalisation,"La présente opération a pour but de sécuriser le carrefour situé à l'intersection des boulevards de Vitré et Charles Péguy, avec la rue Danton et l'avenue Charles Foulon, à Rennes.
En effet, ce dernier fait partie d'un recensement interne des carrefours à risque pour la circulation des cycles et des piétons.
Parallèlement, une opportunité de requalifier également le boulevard de Vitré au nord du carrefour est apparue, ceci en basculant toutes les circulations motorisées sur la partie Ouest pour céder la place aux mobilités douces sur la partie Est. 
Sur le périmètre opérationnel de 12 477 m², l'intégralité des eaux pluviales est actuellement renvoyée vers le réseau dédié. 9 537m² sont actuellement imperméabilisés et totalement connectés au réseau eaux pluviales, soit 76% de la surface totale du projet, et 2 940m² sont végétalisés.
Le projet consiste à réduire l'emprise du carrefour en déconnectant l'avenue Charles Péguy de celui-ci et en le reliant directement au boulevard de Vitré, en supprimant les shunts et en réduisant les longueurs des traversées piétonnes.
Ceci permet d'aménager un square dans le délaissé de l'avenue Charles Péguy et d'ajouter des surfaces végétalisées par la suppression des shunts et diminution des largeurs de voiries destinées au trafic motorisé.
Le square sera dans ses zones circulées revêtu de pavés drainants et pavés écarteurs à joints engazonnés.
De plus, sur le réaménagement Est du boulevard de Vitré, les eaux de ruissellement seront déconnectées des grilles reliées au réseau d'eaux pluviales, et envoyées dans les espaces verts.
Cela permettra de végétaliser 244 m² supplémentaires et de planter 38 arbres pour atteindre 132 au total. De plus, la gestion intégrée des eaux pluviales prévoit de déconnecter 5 576 m² du réseau eaux pluviales par infiltration vers des espaces verts (4 573m²) ou vers des revêtements perméables ( 759 m²).
Rennes Métropole et la Ville de Rennes ont conventionné pour transférer la maîtrise d'ouvrage unique de l'opération à Rennes Métropole.",112037.25,17102405,,240260801,AELB,Renaturation des villes et des villages,Bretagne,Ille-et-Vilaine,35,24350013900189,RENNES METROPOLE,Métropole,35238,Rennes
